id;idade;sexo;renda_familia;escolaridade_pai;curso_pai;escolaridade_mae;curso_mae;materia_preferida;op1;op2;op3;op4;op5;nota_portugues;nota_fisica;nota_matemática;nota_quimica;nota_biologia;nota_educacao_fisica;nota_geografia;nota_historia;nota_ingles;nota_filosofia;nota_sociologia
1;23;1;3;;;2;;20;27;30;29;47;75;80;90;95;81;79;95;88;98;85;94;87
2;17;2;2;;;;;40;75;72;90;80;84;;100;70;80;90;90;80;80;100;100;80
3;18;2;1;;;1;;60;14;83;80;12;;70;60;80;90;80;90;90;100;100;90;80
4;18;2;2;2;;2;;1;75;13;15;19;90;100;90;60;100;90;80;70;80;100;100;100
5;18;2;2;2;;2;;10;41;51;96;80;19;70;70;70;90;80;100;80;80;70;70;70
6;18;2;1;2;;3;88;40;72;86;23;80;2;75;80;60;60;70;80;100;70;60;80;90
7;20;1;2;1;;1;;100;15;63;38;46;;70;80;80;80;70;80;70;70;80;90;80
8;17;1;3;;;2;;20;47;27;68;77;80;65;65;99;80;95;100;95;100;75;100;100
9;18;2;2;2;;2;;40;90;75;15;;18;88;90;90;100;70;70;80;90;70;100;80
10;18;1;1;;;3;92;40;19;38;29;23;15;60;60;60;60;60;80;70;70;80;80;70
11;20;1;3;1;;3;88;60;80;88;13;;;80;60;70;60;70;100;80;90;100;100;100
12;16;2;1;2;;1;;1;23;10;88;90;13;83;75;100;80;80;100;86;95;94;80;100
13;17;1;4;2;26;2;;60;75;69;46;;;80;58;78;68;70;96;80;89;70;80;94
14;17;2;2;;;;;20;63;19;75;26;;70;80;90;86;88;79;90;80;84;80;90
15;17;2;2;2;;2;;60;23;18;80;43;19;80;100;90;70;65;100;70;100;100;100;40
16;17;2;1;2;;2;;10;30;12;51;72;84;85;80;85;98;80;80;90;90;70;100;100
17;19;2;3;1;;3;92;40;20;11;16;18;63;90;70;80;70;70;80;80;70;90;90;90
18;18;2;1;2;;1;;1;19;29;23;90;20;90;83;80;82;87;87;87;93;78;85;80
19;16;2;1;2;;2;;20;26;28;63;68;90;89;88;98;84;85;85;93;96;85;86;90
20;18;2;1;3;27;3;92;20;26;29;19;63;13;100;90;100;90;80;100;100;100;100;90;80
21;18;1;2;2;;3;88;20;6;17;90;34;47;80;80;80;70;80;100;80;80;90;90;80
22;21;2;2;2;;2;;1;16;;;72;63;75;85;60;90;95;80;83;78;78;83;82
