1;Agroecologia
2;Geologia
3;Engenharia Florestal
4;Engenharia Ambiental e Sanitária
5;Tecnologia Em Saneamento Ambiental
6;Gestão Ambiental
7;Agronomia
8;Engenharia De Pesca
9;Produção Pesqueira
10;Tecnologia Em Agrimensura
11;Zootecnia
16;Ciências Naturais
17;Ciências Biológicas
18;Estética
19;Fisioterapia
20;Educação Física
21;Odontologia
22;Enfermagem
23;Farmácia
24;Saude Coletiva
25;Biomedicina
26;Medicina Veterinária
27;Medicina
28;Fonoaudiologia
29;Gestão Hospitalar
30;Biotecnologia
31;Tecnologia Em Biotecnologia
32;Gastronomia
33;Alimentos
34;Engenharia De Alimentos
35;Tecnologia Em Alimentos
40;Tecnologia Em Análise E Desenvolvimento De Sistemas
41;Ciência Da Computação
42;Engenharia Da Computação
43;Engenharia De Software
44;Sistemas De Informação
45;Tecnologia Em Processamento De Dados
46;Jogos Digitais
47;Design
48;Tecnologia Em Automação Industrial
49;Engenharia De Controle E Automação
50;Engenharia De Materiais
51;Tecnologia em Petróleo E Gás
52;Engenharia De Petróleo E Gás
53;Engenharia De Produção
54;Tecnologia Em Eletrônica
55;Engenharia Elétrica – Eletrônica
56;Engenharia Elétrica – Eletrotécnica
57;Tecnologia Em Sistema de Telecomunicações
58;Engenharia Elétrica – Telecomunicações
59;Tecnologia Em Manutenção Mecânica
60;Engenharia Mecânica
61;Engenharia Mecatrônica
62;Tecnologia Em Mecatrônica
63;Tecnologia Em Construção Naval
64;Engenharia Naval
65;Estatística
66;Física
67;Tecnologia Em Logística
68;Logística
69;Matemática
70;Matemática Aplicada
71;Meteorologia
72;Tecnologia Em Processos Químicos
73;Bioquímica
74;Engenharia Química
75;Química
76;Engenharia Civil
77;Arquitetura E Urbanismo
78;Tecnologia Em Construçao de Edifícios
83;Administração
84;Gestão Comercial
85;Direito
86;Gestão Pública
87;Comunicação Social – Relações Públicas
88;Comunicação Social - Jornalismo
89;Arqueologia
90;Arquivologia
91;Biblioteconomia
92;Ciências Contábeis
93;Ciências Econômicas
94;Serviço Social
95;Ciências Sociais
96;Geografia
97;História
98;Letras - Libras
99;Letras - Língua E Literatura Espanhola
100;Letras - Língua E Literatura Francesa
101;Letras - Língua E Literatura Inglesa
102;Letras - Língua E Literatura Japonesa
103;Letras Língua E Literatura Portuguesa
104;Pedagogia
105;Filosofia
106;Psicologia – Formação De Psicólogo
107;Segurança do Trabalho
108;Ciências Militares E Segurança Pública
109;Seguranca Pública E Do Cidadão
110;Dança
111;Música
112;Artes Visuais
113;Produção Audiovisual
114;Tecnologia Em Produção Publicitária
115;Teatro
116;Tecnologia Em Gestão De Turismo
117;Tecnologia Em Turismo Ecológico
118;Turismo
